text1,text2
"From men , McCartney , and from women , Lindsay Lohan .","from men , from women , from lame- lohan to Lohan"
i wipe them on the floor or bed .,They can be located on my floor or a bed and I will wipe them off .
Ever wonder why men think a lot and women talk a lot ? ?,Do you ever wonder why people talk so much about that topic ?
SOUNDS GOOD TO ME.HOW ABOUT THE REST OF YOU ? ? ?,I enjoy hearing you say good things about me .
"Every time I hear that particular song , I become excited .",I love it if I hear the song before I go
therefore it must be the chicken !,So is it the chicken !
The first appearance of The Joker was in a 1940 Comic called Batman # 1 .,In the 1940s Joker returned to the comic titled The Batman # 1 and became a pen pal .
i tape stuff on tape but i watch DvD &apos;s,I &apos;m watching DvD &apos;s on tape right now .
"Some of my favorite television series are Monk , The Dukes of Hazzard , Miami Vice , and The Simpsons .","my fav is Monk , Dukes of Hazzard , and the Simpsons ."
there aren &apos;t any words that rhyme with orange .,"Toby Keith , you are not close to the orange ."
But my sister is like obsessed with him ! ! !,"However , my sister is obsessed with him !"
my friends talk about me because i still blast his music through my apartment on a regular basis,My friends discuss me because I still enjoy listening to him .
"she &apos;s just a tomboy and a good athlete , that doesnt make her gay !",She is only a tomboy and is athletic but she does not want to be a homosexual !
Hoopz does not want Flav at all .,Hoopz does not want Flav because he is not attractive .
"If you want to live , talk and dream about it , I would suggest moving to either Japan or China .","if you really want to live in japan or china , then I guess I would say move there or China"
"Not gay just 2 let you know , but you should already know BEYONCE WILL ALWAYS BE BETTER LOOKIN !",You are aware BEYONCE WILL ALWAYS BETTER NO matter how good your step( s ) !
I merely require a small number of rhymes regarding sickness or illness .,only a few rhymes are needed for disease or cancer .
Ur right I cant answer it .....,I don &apos;t have any answer to that question .
He must of learned some skills after seeing all those fights .,"well after all the fights have started , thanar must learn some skills ."
I &apos;m not a Rock fan ... but I hate George Clooney .,"Although I don't like George Clooney , I don't like George Clooney ."
"My dad looks like Paul Newman , and my ex looked like king kong",My dad resembles Paul Newman and my ex resembles King Kong .
"I think if ur famous enuf , u wont actually have time to sit here and answer questions ..",When you are famous you will not have to sit there with yourself answering questions and that kind of thing .
"No one will forget TLC , as their songs were emblematic of a particular generation of young women .","Like TLC with their nostalgic kid bands , no one will forget them ."
How will you feel if someone chooses to throw a funeral party for you when you are between sixty and seventy years old ?,even when your in your thirties but when someone choose to throw a funeral party for you all might just feel different .
"American Idol , House , and Grey &apos;s Anatomy are my top three .","I have the best of the three , house and grey &apos;s house ."
iano but thats such a good song .,"It is a great song , but it is still a good song ."
It piques my interest ; what is it about ?,I like whatever comes out there ?
"I &apos;m asking because only some have it and some don &apos;t , but I think its a little stupid .","I need to ask because only a few have , and some don &apos;t ."
I do and I am way over 17 .,I am eighteen and still got it going on with it .
"A genius can manipulate people into believing his idea , but an unintelligent person cannot .",brilliant people can get manipulated but a stupid person cannot .
"i think they would have , quite a shame isn &apos;t it","It would be quite unfortunate , I believe , rather than rather present ."
That person in hilarious .,that &apos;s a funny guy .
