text1,text2
"But a lot of old people act like they're already dead , sluggish , slow , fat , and colorless , like lead .","But in a silent age A man not very much dead , sluggish , stony , Thin-eyed , and grayed , Fends the looking-old"
Tomorrow night look that thou lie alone .,"Tomorrow night , you'll be alone ."
"No , Romeo will respond to the letter's writer , telling him whether he accepts the challenge .","Nay , farewell , and then we have the letter-writer behind , Who will in his letters Receive letters to challenge him , Un"
I am aweary .,I'm a big person .
"He'll wake you up , I bet .",I am sure he will wake thee .
"Oh , I wish I was the glove on that hand so that I could touch that cheek .",The glove I have upon my neck Is the same as the cheek .
"Madam , I am here .","Madam , here ."
"Ay , if I know the letters and the language .",I know the language and letters .
"Now I'll go see my priest , to ask for his help and tell him about my good luck .",Let us ask my priest for help and tell him that I have made a modest pardon .
"Peter , wait for me at the gate .",Stay till I come to this gate .
"Oh my , my bones ache so much .",My flesh is sore .
"Indeed , I should have asked you before who he was .","I would that I should ask you , who he is ."
I'm suddenly afraid .,One moment at a time I am peevish .
Is the worst well ?,Is 't the worst ?
Is your man secret ?,Is your secret to him ?
Please grant my prayer so my faith doesn't turn to despair .,"Pray you , let faith not fall To let our other opinions ."
Nurse !,"Doctor , I'm sick !"
"When and where and how We met , we wooed and made exchange of vow , I'll tell thee as we pass , but this I pray : That thou consent to marry us today .","We met , we exchanged vows , and I beg your highness to marry us now ."
"No , no .",No .
"And , as he fell , did Romeo turn and fly .","And then he dropped , and the chariot raced off ."
Tis well thou art not fish .,"You aren't fish , , a fish is your lord ."
"Oh , then I see that madmen have no ears .",And when I look at these madmen I can't find any ears in their heads .
Let the blood rushing to my cheeks be calmed .,"For my beard , let me not brook the blood in my cheek ."
That's not so .,It's not that .
"You will also confess , I'm sure , that you love me .",I know you will confess me .
"Take me inside some house , Benvolio , or I'll pass out .","And by my troth , go to my house , and stay till the plebeians give their leave ."
"If I answered that question , I'd be making confession to you .",Would I had confessed To you if I answered .
"But to say that Tybalt's dead and then say , ""Romeo has been banished."" To say that is like saying that my father , my mother , Tybalt , Romeo , and Juliet have all been killed , they're all dead .","They say that we are children's lions , And then they say , ""Thou art a lion , That Met all these women'and then ,"
"Oh , that most wicked fiend !","O , the devilish contending monster !"
And there she shall at Friar Lawrence ' cell Be shrived and married .,The friar Lawrence was taken to her cell in order to question her .
"And sometime comes she with a tithe-pig's tail Tickling a parson's nose as he lies asleep , Then he dreams of another benefice .","He's dreaming of another benefice , and the same tusk-tiggler tickles his dreaming head with a tithe-pig's tail ."
Be good .,Good Jack .
"Without his roe , like a dried herring .","Without his roe , like a dried fish ."
Hast thou not a word of joy ?,You don't like joy ?
Go wake Juliet .,Go fetch Juliet .
"Muffle me , night , awhile .","Snip , snip , keep me quiet night ."
"Madam , tell me quickly , what day is that ?","Madam , what do you know of the day of marriage ?"
I'll not to bed tonight .,I can't sleep tonight .
You mean however they dare .,But these to dared most men .
"Her body sleeps in the Capulet tomb , and her immortal soul lives with the angels in heaven .","She sleeps in Capulet's monument , That her soul here lives ."
That's how flimsy and unreal pleasure is .,That's the very standard of 'twere only with a weak and unreal pleasure .
Who are you ?,Who's that came here ?
"At my humble house tonight , you can expect to see dazzling stars that walk on the ground and light the sky from below .","Now turn you your stars and shine on them , Like our letters , And from mine own house You'll see them with dazzling stars Fairly out from heaven And"
"She's ready to go , but she'll never return .","She was wont to come , but she'll not come again ."
Let playful people with light hearts dance .,Let some lighthearted men have a little liberty .
"Your husband lies dead there , and Paris too .","Your husband is dead , too ."
"And private in his chamber pens himself , Shuts up his windows , locks fair daylight out , And makes himself an artificial night .","He locks his doors , locks the gates , and makes his room artificial bright enough to lie out night after night ."
What cursed foot wanders this way tonight To cross my obsequies and true love's rite ?,What curse is made to curse the cursed foot that will cross my love and true love ?
I won't fail .,I shall not fail .
"Your love says , like an honest gentleman , and a courteous , and a kind , and a handsome , and , I warrant , a virtuous , Where is your mother ?","And this love is like the gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a guy , a noble man , a dishonored man , a so-called prince , a dutifully chosen prince , a scheming"
"Despised , distressed , hated , martyred , killed !","Oh , hated , distressed , hated , slain !"
"Your looks are pale and wild , and do import Some misadventure .",Those want to boast your wits are bringing out some bad luck .
That dirty rat !,"Oh , that's a bloody rat !"
That's foolish .,Tis silly .
But where have you been ?,But where ?
