text1,text2
They must take it in sense that feel it .,They must take it in that sense of humor .
Somebody's knocking .,Somebody's knocking .
Is my father well ?,Is my name well ?
What a man are you ?,What a man are you ?
"Be quiet , you mumbling fool !","Be quiet , you doddering fool !"
Let them judge us however they please .,"Let us embrace thee , Though they shall stop us ."
Will you speak well of him that killed your cousin ?,"Will you speak of that friend , then ?"
Here comes the lady .,Here comes the lady .
"You , Prince , are the man who can give me justice .","You , the Prince , who are you That can give me justice ."
"If in thy wisdom thou canst give no help , Do thou but call my resolution wise , And with this knife I'll help it presently .","If in your case you'll give me any help , but don't give my cousin any citizen , my lord , and I'll run with it ."
Is my father well ?,Is my name well ?
Be quick for a while and let the one who lives the longest take everything .,Be quick for a while and let the quick note of the world .
"That I ask again , For nothing can be ill if she be well .","That I ask you again , or nothing can be if she were well ."
Calling death banishment is like cutting off my head with a golden ax and smiling while I'm being murdered .,"The death esteemed hence upon this hour And turned my fame in a double burden , And so there's a word of thee ."
"Here is a friar that trembles , sighs and weeps .","Here is a rural cap , which can not 'scape a single target ."
"But a lot of old people act like they're already dead , sluggish , slow , fat , and colorless , like lead .","But a proper grace of an old age , Who , like pale , and newly washed With variable objects , and not base , and peas , in paying a place ."
Tomorrow night look that thou lie alone .,"Tomorrow night , that you look like you're hiding that Lear ."
"No , Romeo will respond to the letter's writer , telling him whether he accepts the challenge .","No , I will hie thee to the mart , And therefore look you , he mocks the gods ."
I am aweary .,I am dumb .
"He'll wake you up , I bet .","He'll wake you up , I likewise a man ."
"Oh , I wish I was the glove on that hand so that I could touch that cheek .","Oh , I wish I was the prince that broke so much upon me that I could devise a mind ."
"Madam , I am here .","Madam , I am here ."
"Ay , if I know the letters and the language .","Yes , if I know the king and master to make the price ."
"Now I'll go see my priest , to ask for his help and tell him about my good luck .","Now I'll go see my music , for I bear his countenance to him and tell him my good qualities ."
"Peter , wait for me at the gate .","Peter , see you the sound of me ."
"Oh my , my bones ache so much .","O my follies , my rising heart fairly ."
"Indeed , I should have asked you before who he was .","Indeed , I should have met you as he brought me ."
I'm suddenly afraid .,It is so .
Is the worst well ?,Is the truth of you ?
Farewell .,Farewell .
Is your man secret ?,Is your master Goneril ?
Please grant my prayer so my faith doesn't turn to despair .,"Therefore my shield , I prithee , most so humble hold ."
Nurse !,Nonsense !
"Ha , banishment ?","Ha , ha ?"
"When and where and how We met , we wooed and made exchange of vow , I'll tell thee as we pass , but this I pray : That thou consent to marry us today .","When and when you wooed and dreams , we found some dewdrops and gaze of your complaints , as you can tell me to be this : I don't want to marry us today ."
"No , no .","No , no ."
"And , as he fell , did Romeo turn and fly .","And , as he did , then he won't end up ."
Tis well thou art not fish .,It's not friendly to you .
Do you hear me ?,Do you not hear me ?
"Oh , then I see that madmen have no ears .","Oh , then I see that young and lucky Caesar has arrived ."
Let the blood rushing to my cheeks be calmed .,Let the blood be spotted with my brother's eyes .
That's not so .,That's not so .
"You will also confess , I'm sure , that you love me .","You will confess , Which is not sure , love me not ."
"Take me inside some house , Benvolio , or I'll pass out .","Take me some music , my lord , or I'll knock thee out ."
"If I answered that question , I'd be making confession to you .","If I do see that , I'll be faced or not thy words ."
"But to say that Tybalt's dead and then say , ""Romeo has been banished."" To say that is like saying that my father , my mother , Tybalt , Romeo , and Juliet have all been killed , they're all dead .","But to say that concerns dead and then , And say that is been thus To say , my father , that my father , my mother , hath been slandered , by all my heart ,"
"Oh , that most wicked fiend !","Oh , that most foul son !"
And there she shall at Friar Lawrence ' cell Be shrived and married .,"And there she won't be buried at these confines , sleeping , and then he's been ordered ."
"And sometime comes she with a tithe-pig's tail Tickling a parson's nose as he lies asleep , Then he dreams of another benefice .","And she went with a fever , and she keeps a thousand noses , who's sitting around in a shipwreck , I will always be one of you ."
Be good .,Be good .
"Without his roe , like a dried herring .","Without his own virtues , like a rough head ."
Hast thou not a word of joy ?,Aren't you a lot of money ?
Go wake Juliet .,Go fetch fire .
"Muffle me , night , awhile .","Imagine , me , no more quiet ."
"Madam , tell me quickly , what day is that ?","Madam , tell me , what is this day is here ?"
I'll not to bed tonight .,I'll listen to her tomorrow .
You mean however they dare .,You mean what they dare .
"Her body sleeps in the Capulet tomb , and her immortal soul lives with the angels in heaven .","Her body lies in the fickle field And sing her hidden , and the blood he overcame the earth ."
That's how flimsy and unreal pleasure is .,That's how intense Your pleasure and my father's .
Who are you ?,Who are you ?
"At my humble house tonight , you can expect to see dazzling stars that walk on the ground and light the sky from below .","At my chamber window thou canst , What need you to see that walk on the streets And draw the fire in the dark With colors of the other proofs That ever I am ."
"She's ready to go , but she'll never return .","She's ready to go , but to thy revenge ."
Let playful people with light hearts dance .,Let us sit with the barbarous fates that shake hands .
"Your husband lies dead there , and Paris too .","Your husband died dead and there , And so too ."
"And private in his chamber pens himself , Shuts up his windows , locks fair daylight out , And makes himself an artificial night .","And in his private mood tonight , he's sitting out in his pajamas , with a fresh water , and by the older makes me one , he'll be able to get your plan ."
What cursed foot wanders this way tonight To cross my obsequies and true love's rite ?,What cursed head of this same storm gives me the letter and my husband's mind ?
I won't fail .,I shall devise something .
"Your love says , like an honest gentleman , and a courteous , and a kind , and a handsome , and , I warrant , a virtuous , Where is your mother ?","Your love , like an old lad , a young and handsome man , a gentleman , a gentleman , and a kind of bastard , a woman's brother , a total fraud and rascal ."
"Despised , distressed , hated , martyred , killed !","Arms , O , conclude , I have killed a thousand !"
"Your looks are pale and wild , and do import Some misadventure .",Your looks are playing tricks on you and make him go dry .
That dirty rat !,That 'scuse cries .
That's foolish .,That's most .
But where have you been ?,But where have you been ?
Do you have permission to go out and take confession today ?,Do you have to go out and go to fetch him a fray ?
"Today's a holiday , so the beggar's shop is shut .","Sometime a fantastical , And all the world goes into ."
"Her body sleeps in Capels ' monument , And her immortal part with angels lives .","Her body is exhibited in France , and the stars , who cries with fame ."
"Then the window lets day in , and life goes out the window .","Then the second day is near and armor , Which comes to the ground ."
Wouldst thou withdraw it ?,Didn't you see it ?
"Why , how now , Juliet ?","Why , how now , Adam ?"
"Wait , Tybalt , wait !","Soft , hark thee !"
"Poison , I see , hath been his timeless end. , O churl , drunk all , and left no friendly drop To help me after ?","Didn't I , have I offended , and he's a sponge , and all that he was , just to find out the fire and my own help to grow up ?"
"What a man , young lady .","What a man , lady ."
Why are you knocking so hard ?,Why are you grown so strong ?
I won't miss any chance to send my love to you .,I shall needs taste of any that place to kill you .
How long has he been there ?,How long hath he been murdered ?
"Romeo can , Though heaven can not .","Catch me if you can , then ."
Were you talking about Juliet ?,Were you not born of spending ?
Tis now near night .,It's now I'm leaving behind you .
"I am too sore enpierced with his shaft To soar with his light feathers , and so bound , I can not bound a pitch above dull woe .","I am too rough with white virtues who , leaving his wounds with me , and so I can't wait a minute , I admit a little shade of my journey ."
How sweet is love itself possessed When but love's shadows are so rich in joy !,How beautiful is it because itself is so shaken on many things in your eyes and use you too rich ?
"O happy dagger , This is thy sheath .","Oh , happy , I'm sure your highness is ."
"She's dead , deceased , she's dead .","She's dead , she's dead , and she's dead ."
Let me be ta'en .,Let me be clean .
"Shall I believe That unsubstantial death is amorous , And that the lean abhorred monster keeps Thee here in dark to be his paramour ?","Should I imagine what is that death , and the poor loyal man that has been forced to do in his usual idiot ?"
Villain am I none .,"Fine , I am ."
"Supper is done , and we shall come too late .","Everything is done , and we won't come too late ."
What eye but such an eye would spy out such a quarrel ?,What an eye could have such a hair meant to get a story ?
Tis late .,It's getting late .
"Yet I can not choose but laugh To think it should leave crying and say ""ay."" And yet , I warrant , it had upon its brow A bump as big as a young cockerel's stone , A perilous knock , and it cried bitterly .","Ever since I can't believe it when I should leave it and say something , since I don't think it wasn't a bit of a stupid man , as I felt it with a pound of flesh and a lovely lamb , a monkey , and a monkey , and a dog , a monkey , and a fool ."
Then hie you hence to Friar Lawrence's cell .,"Then I'll go home to you , my Jewish heart ."
"Well , sir , because silver has a sweet sound .","Well , sir , being in a house with grief ."
Give me my sin again .,Give me my robe again .
Now you know the reason for the rush .,Now you know the reason for the priest .
Where is she ?,Where is she ?
"Monday , my lord .","Goodbye , my lord ."
"Come on , what did Romeo say ?","Come , what wouldst thou do ?"
"Inside the little rind of this weak flower , there is both poison and powerful medicine .","Inquire the Jew's house made of this melancholy , And there is weak , and most convenient ."
Her eye in heaven Would through the airy region stream so bright That birds would sing and think it were not night .,"Her eyes in heaven through the clouds and shook so silly we are , and everything would be just a stupid man and then ."
"Saint Francis , help me !","Saint Valentine , go find out !"
Good night .,Good night .
If they do see thee they will murder thee .,"If they do about to see , they will do anything for you ."
I am sped .,I am dumb .
"Be quiet , for shame !","Be quiet , for shame !"
"Right , and well said .","Right , well , and well said ."
I will be brief because I'm not going to live long enough to tell a boring story .,"I will be brief , And not so long to be a bawd To take advantage of a lion ."
"So will ye , I am sure , that you love me .","So I will , I'm sure that you are love with me ."
How art thou out of breath when thou hast breath To say to me that thou art out of breath ?,How are you taking out of it when he has to say to you out of that song ?
Go hence .,Go inside .
"Either my eyesight fails , or thou look'st pale .","Either my own brain , tempt me like a parrot walk ."
