text1,text2
"What was left when all was washed away was a pink-fresh nobody, white people with occupations called things like Senior Marketing Data Information Analysis Coordinator, making low six figures in pharmaceutical sales by their thirtieth birthday.","the pink-faced white man, who had a job called ""Senior Marketing Data Analysis Coordinator,"" made a low six-figure salary in pharmaceutical sales at his thirtieth birthday."
"Styrofoam candy canes have been attached to all the light poles, and a banner spanning the street says MERRY CHRISTMAS.","all the lights on the street are decorated with a banner that reads ""Merry Christmas."""
He had a possible hook now on the Eric Dorsey homicide.,the murder of Eric Dorsey has a possible hook.
At night the stars shine brightly without competition from human lighting.,"the stars shine brightly at night, without human interference."
"All I know is I need to be set to do it . """,I only know I have to do it.
Because they believe that for three thousand pesos they can stop the world.,they believe they can stop the world for three thousand pesos.
Recurrent yeast infections can be a sign of a more serious yeast overgrowth throughout the body.,a more serious yeast overgrowth can be a sign of recurrent yeast infections.
"My parents returned to their familiar relationship: my father exuberant, loud ("" Let's all go dancing "" "" Let's go down to the field and set off some fireworks ""); my mother quieter, more steady.","my parents returned to their usual relationship: My father was happy, loud ("" Let's go to the field and get some fireworks""), my mother quiet."
&nbsp; HENRYWell I don't think you are guilty.,I'm not sure you're guilty.
"I would mimic Navrang, the village lunatic, or Uncle Vishal ("" Uncle V ""), who was so fat he fell asleep in his soup.","I'd imitate Navrang, the crazy village man, or Uncle Vishal, who was so fat he fell asleep in his soup."
"She booted her computer, and yellow characters flashed across the screen as she pounded the keyboard.","she slammed the keyboard, and the yellow characters flashed on the screen."
The craft skimmed along faster than Lucian had imagined.,the ship was moving faster than Lucian had thought.
"Yet, even in departments described as difficult, women found some supportive men faculty.",women found some supportive men in departments that were described as difficult.
"* * * For me, counting and touching things and repeating words are all the same activity.",* * * I'm just counting and touching things and repeating words.
"Given that this society is in the business of more and more traffic congestion, a rapidly deteriorating environment, and more formal and informal segregation, we need some new scenarios badly.","we need a new scenario, given that the society is increasingly congested and traffic congestion is growing."
"For wild relatives of crops, species or varieties that range across several different ecosystems typically show high genetic diversity.","genetic diversity is usually high in the wild relatives of crops, species or varieties that range across several different environments."
"In disgust, Glenn pushes past his father out of the room.","Glenn's disgusted, and he leaves the room."
"In theory, blue-blocking lens implants or sunglasses might delay the onset of age-related macular degeneration.",the onset of age-related macular degeneration may be delayed by blue-blocking lenses or sunglasses.
"Clouds scudded from invisible distances, flew by at unnatural velocity . ""","clouds of invisible distance, flying at a strange speed."
""" I hear you, I'm almost there, "" I called out, ignoring the warning.","""I hear you, I'm almost there,"" I said, ignoring the warning."
"<p> "" Just a minute, "" came a crystalline voice, female, melodious.","""just a minute, ""said a crystalline, melodious woman."
"Golden nail polish and diamond toe rings, enhanced their beauty, heightened her sex appeal.","her beauty, sex appeal, and sex appeal were enhanced by the golden nail polish and the diamond toe ring."
The yellow and orange colors and lengths of these flows suggest that they could be composed of sulfur.,the yellow and orange color and the length of the flow suggest that sulfur may be mixed.
<p> Big guys like this weren't usually fast.,they weren't usually quick to get big.
"More likely because, when I was about four years old, the only barber in Custer threatened to cut off my ears if I didn't sit still while he was working on me.","when I was four, the only barber in Custer threatened to cut my ears off if I didn't sit still."
"dark miso (see glossary, p. 111) 1 tsp.","1 tsp. of miso (see glossary, p. 111)"
"( "" You taught me language, "" says Caliban to Prospero, "" and my profit on't is I know how to curse . ""","""you've taught me a tongue, "" Caliban said to Prospero, "" and I'm sure I can curse you."""
"The ad gave Bush an opportunity, a chance to take McCain's biggest selling point--his image as an outsider who was above politics as usual--and use it against him.",Bush's ad gave him an opportunity to take the biggest selling point of McCain's campaign--his image as a stranger who was above politics.
This spice is derived from the fruit of the vanilla orchid.,it's a mixture of vanilla orchids and spices.
""" And what is not real about my sister? ""","""what's not real about my sister?"""
They also believe that early marriage prevents the young girls from having sexual experience with other men too early in life.,they also believe that early marriage is preventing young girls from having sex with other men.
TABLE <p> ILLUSTRATION <p> By Mary Granfield <p> A BURGLAR'S CRIME-STOPPING TIPS <p> Forget Cary Grant's elegant cat burglar in To Catch a Thief.,"remember, the burglar in To Catch a Thief is a beautiful cat burglar Mary Granfield."
<br> Hundreds of warships too large to be annihilated by Coruscant's artillery and rocketry had penetrated the umbrella and cratered the urbanscape.,the umbrella and the crates were smashed by the hundreds of ships that Coruscant's artillery and rockets could not destroy.
FALLING TRUCK A radiant light suddenly appears through the windshield.,a bright light suddenly appeared in the windshield.
General relativity could say nothing about the conditions inside it.,the conditions inside the body could not be described by general relativity.
( Like in a high cabinet that requires a stool to reach. ),(as in a high-profile cabinet that requires a stool.
"A thick branch had taken out their overhead phone wire, and they discovered once they were inside that their electricity was gone . ""","they found out that the overhead phone was cut off, and they found out that the electricity was out. """
Can you assign culpability to a crime with ten million accomplices?,do you blame the crime of 10 million people?
"At least as recently as the early 1960s you could just drive your car into the Capitol parking lot, and if you could find a space that was neither reserved nor already taken-which was often possible-you could simply park and walk into the Capitol building.","you could park in the parking lot of the Capitol, and if you could find a place that wasn't reserved or reserved, you could simply park and walk into the Capitol."
"So we really value our tradition, and we are not trying to be all things to all people.","we're really interested in tradition, and we don't want to be all over the world."
"Oh, the advancing snowmen would fall silently one after another, and be buried in the mounting drifts of snow.","one after the other, the snowmen would fall silent, and the snow would fall."
"Although she thought he was lying, Ushi let the matter drop since he was working so hard at his other chores.","Ushi was lying, but he didn't want to let it go since he was working so hard on his job."
"<p> On Father's Day my sisters sent chirpy, cheerful cards, cards in the shape of Donald Duck or Snoopy, cards that read, "" To the Greatest (Grand) Dad in the Whole Wide World, "" signed with their children's names.","""to the Greatest (Grandfather) in the World,"" they sent a cheerful, cheerful card, a card with a duck or a snitch."
"Sure it's a gimmick, a simple twist, but I haven't been able to get her out of my head all week.","it's a gimmick, a simple twist, but I've never been able to think of her."
"From there I could travel back to Baghdad . """,I'll go back to Baghdad from there.
She taped every seam until the dispenser ran dry.,she's been running out of the dispenser for a long time.
JO RUDGE It's eight-and-a-half seconds for the Empire State Building.,the Empire State Building will be eight-and-a-half seconds.
"Hondo's rummaging around in his room for his rifle, busting everything up in the process, real noisy.","Hondo searches his room for his rifle, and everything goes crazy."
We find her on the Internet and pool our resources to pay her airfare and lodging at the B &; B downtown.,we're looking for her on the internet and we're looking for a hotel and a room at the B & B downtown.
"While much counterfeiting is carried out in this country, a large chunk takes place overseas-again, mostly in Asia.","in this country, counterfeiting is carried out, but it is mainly in Asia."
"Blond hair, pretty hazel eyes, but a slightly sharp look to her.","a little blond hair, a little hazel eyes, but she had a sharp look."
"But Annick was a doctor, she did not need to remind her p 155 father.","but she was a doctor, not a doctor."
"<P> Meanwhile, there are plenty of steps you can take to improve your odds.","in addition, you can improve your odds by taking many of the following steps."
"<p> The old woman began to mutter, "" Exiled at thirteen, thirteen-year exile . ""","""exiled at 13, 13-year-old exile,"" the old woman murmured."
"Her eyes were blue and clear, like mountain pools.",she looked like a mountain pool in blue and clear eyes.
"Anyone who's worked for him feels an absolute need to be accountable, "" says Phil Hansen, a former elementary school principal and retired chief accountability officer for the Chicago public schools . ""","""everyone who worked for him feels a need to be accountable,"" says Phil Hansen, a former elementary school principal and former head of the Chicago Public Schools."
"I'm sure there are some good theories, but I'm just a perceptive A &; R man who can push buttons with the best of' cm.","I'm sure there's a lot of good theories, but I'm a good A & R guy who can handle it."
"// As I made my way inside, lines of people two and three across were already surrounding the Star-Telegram building.",the Star-Telegram building was surrounded by two and three people.
2 Proof the dough: Coat a large bowl with the vegetable oil.,2.1.1.1.1.1.1.1.1.1
A murmuring rippled through the crowd at Meguet's back; she looked up to see what the mage wanted so badly out of the stone that he had stopped the world.,"the crowd behind Meguet was murmuring, and she looked up to see what the mage wanted so badly."
"Come on, let's fortify ourselves with tacos . ""","let's get some tacos. """
"BEN HARCOURT I can't / oh God ABBY PRESCOTT Please / Ben, please for me Please.","Ben HARCOURT I'm not / Oh, God, I'm not."
"It's just feels like somethin's tightenin' down and I don't hardly know what it is . """,it's just like something tightens and I don't know what it is.
"As word spread that he was on the practice tee, a crowd gathered, whistling appreciatively as he casually knocked iron shots into the far reaches of the range.","as word spread that he was on the practice tee, a crowd gathered, whistling appreciatively, and he casually shot a shot into the distance."
""" Even the most savory of meals is but fuel for the body's brazier, "" Petrinius said.","""the body is a fire, even the most savory meal,"" Petrinius said."
"The songs were the one thing that everybody seemed to like about me, the one thing I did well.","everyone seemed to like me, the one thing I did well."
But ain't nobody knows more about coon hunting than Mark.,"Mark, no one knows more about the hunt for the coons."
"The roads were eerie, untraveled by anyone except for a car heading the opposite way with an urgency Felice recognized.","Felice recognized that the road was eerie, untraveled by anyone except for the car that was heading in the opposite direction."
But did we ask back then if that was possible?,but did we ask if it was possible?
"Despite the carnival look, the tents were a stage for the acting out of a nightmare scenario, one of the darkest events imaginable: an act of nuclear terrorism.","despite the carnival look, the tents were a stage for the performance of a nightmare scenario, a nuclear attack."
"It's what Willie likes about baseball, the rituals of the game, the way you do the same things over and over.","it's the same thing as baseball, the rituals of the game, the same thing you do."
""" I think I'll keep an eye on him for an hour or so . ""","""I'll keep an eye on him for a minute."""
Schulz cocked his head and said he remembered that Audrey was one of the people who had helped me out the night of the Keith Andrews fatality.,Schulz remembered that Audrey had helped me when I was killed by Keith Andrews.
She had not talked to him since their first meeting at Edward Blount's stall.,"from the first meeting with Edward Blount, she didn't talk to him."
""" But enough of me, "" said Marlene with a laugh . ""","""but enough of me,"" Marlene laughed."
"<P> The influential Judiciary Committee member and his staff organized internal whisper campaigns, say Republican sources, that led to newspaper articles damaging Miers.","Republican sources say the influential member of the Committee and his staff have organized internal whisper campaigns, which led to the publication of the newspaper article."
Several ladies who had stopped there for the night and were waiting on the afternoon coach began whispering behind their fancy fans.,"behind the fancy fans, a couple of ladies who had stopped by the evening and waited for the afternoon train began to whisper."
