text1,text2
Nurse !,"Doctor , I'm sick !"
"Ha , banishment ?","Ha , the banishment ?"
"When and where and how We met , we wooed and made exchange of vow , I'll tell thee as we pass , but this I pray : That thou consent to marry us today .","We met , we exchanged vows , and I beg you to marry us today ."
"No , no .",No .
"And , as he fell , did Romeo turn and fly .","And then he fell , and then he flew ."
Tis well thou art not fish .,"You're not a fish , you're a fish ."
Do you hear me ?,Do you hear me ?
"Oh , then I see that madmen have no ears .",Then I'm sure there are no ears in the madmen .
Let the blood rushing to my cheeks be calmed .,I have a mind to calm the blood in my cheek .
That's not so .,It's not that .
"You will also confess , I'm sure , that you love me .","I warrant you , I'll confess to you ."
"Take me inside some house , Benvolio , or I'll pass out .","Go , Benvolio , I must go to the house ."
"If I answered that question , I'd be making confession to you .",I would I had confessed to you .
"But to say that Tybalt's dead and then say , ""Romeo has been banished."" To say that is like saying that my father , my mother , Tybalt , Romeo , and Juliet have all been killed , they're all dead .","They say that Tybalt was slain and then they say , ""Romeo was slain ."" They say , ""They say that Tybalt"
"Oh , that most wicked fiend !","Oh , the fiendish monster !"
And there she shall at Friar Lawrence ' cell Be shrived and married .,She was taken to the cell of the friar Lawrence .
"And sometime comes she with a tithe-pig's tail Tickling a parson's nose as he lies asleep , Then he dreams of another benefice .","He dreams of another benefice , and he tickles a tithe-pig's tail ."
Be good .,Good boy !
"Without his roe , like a dried herring .","Without his roe , like a dried fish ."
Hast thou not a word of joy ?,You don't want to talk about joy ?
Go wake Juliet .,Go fetch Juliet .
"Muffle me , night , awhile .","Be quiet , night ."
"Madam , tell me quickly , what day is that ?","Madam , what is the day of the marriage ?"
I'll not to bed tonight .,I won't sleep tonight .
You mean however they dare .,But they dare still .
"Her body sleeps in the Capulet tomb , and her immortal soul lives with the angels in heaven .","She sleeps in the capulet , And her soul lives in heaven ."
That's how flimsy and unreal pleasure is .,That's how it is with a weak and unreal pleasure .
Who are you ?,Who is he that is here ?
"At my humble house tonight , you can expect to see dazzling stars that walk on the ground and light the sky from below .",You shall see dazzling stars on the earth And heaven's-faring ones in my house tonight .
"She's ready to go , but she'll never return .","She is ready to go , But she will not come back ."
Let playful people with light hearts dance .,Let lighthearted men Have some fun .
"Your husband lies dead there , and Paris too .",Your husband is dead .
"And private in his chamber pens himself , Shuts up his windows , locks fair daylight out , And makes himself an artificial night .","He locks the doors , locks the windows , and makes himself a night of artificial light ."
What cursed foot wanders this way tonight To cross my obsequies and true love's rite ?,What curse is that cursed foot that crosses my love and true love ?
I won't fail .,I will not fail .
"Your love says , like an honest gentleman , and a courteous , and a kind , and a handsome , and , I warrant , a virtuous , Where is your mother ?","Your love is like a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman , a gentleman"
"Despised , distressed , hated , martyred , killed !","Disgusted , distressed , hated , slain !"
"Your looks are pale and wild , and do import Some misadventure .","You look pale and wild , and you're importing some bad luck ."
That dirty rat !,That's a filthy rat !
That's foolish .,"Tis foolish , but it is true ."
But where have you been ?,But where have you been ?
Do you have permission to go out and take confession today ?,Shall we go out and confess today ?
"Today's a holiday , so the beggar's shop is shut .","Today is a holiday , so the beggar's shop is shut ."
"Her body sleeps in Capels ' monument , And her immortal part with angels lives .","She sleeps in Capel's tomb , and her soul lives in the angels ."
"Then the window lets day in , and life goes out the window .","Then the window is open , and life goes away ."
Wouldst thou withdraw it ?,Should I pull him away ?
"Why , how now , Juliet ?","What , how about now , Juliet ?"
"Wait , Tybalt , wait !","Stay , Tybalt !"
"Poison , I see , hath been his timeless end. , O churl , drunk all , and left no friendly drop To help me after ?","I see , he's a timeless end , he's drunk all , and he left me no friendly drop ?"
"What a man , young lady .","What a man is this , my dear lord ."
Why are you knocking so hard ?,Why do you so hard on me ?
I won't miss any chance to send my love to you .,I will not miss any chance to send you my love .
How long has he been there ?,How long have you been ?
"Romeo can , Though heaven can not .","But Rome can't , but heaven can ."
Were you talking about Juliet ?,Did you hear of Juliet ?
Tis now near night .,It's almost night .
"I am too sore enpierced with his shaft To soar with his light feathers , and so bound , I can not bound a pitch above dull woe .","I'm too sore to fly with his light feathers , and so I'm bound to fall into a deep , dark hole ."
How sweet is love itself possessed When but love's shadows are so rich in joy !,"How sweet is love , when it's so rich in joy !"
"O happy dagger , This is thy sheath .","Happy dagger , this is your holster ."
"She's dead , deceased , she's dead .","She's dead , she's dead , she's dead ."
Let me be ta'en .,I'll take it .
"Shall I believe That unsubstantial death is amorous , And that the lean abhorred monster keeps Thee here in dark to be his paramour ?","Do you think that the unsubstantial death is a romantic , and that the slimy monster will keep you from being his lover ?"
Villain am I none .,"I'm a villain , not a hero ."
"Supper is done , and we shall come too late .","We're supposed to go to dinner , but we'll be late ."
What eye but such an eye would spy out such a quarrel ?,What eye would see such a quarrel ?
Tis late .,It's too late .
"Yet I can not choose but laugh To think it should leave crying and say ""ay."" And yet , I warrant , it had upon its brow A bump as big as a young cockerel's stone , A perilous knock , and it cried bitterly .","I know he was a big , dangerous , and painful blow , and he cried bitterly ."
Then hie you hence to Friar Lawrence's cell .,So you go to the cell of the friar Lawrence .
"Well , sir , because silver has a sweet sound .","Why , so , sir , silver is a sweet sound ."
Give me my sin again .,I'll have my sin back .
Now you know the reason for the rush .,You know why the rush is made .
Where is she ?,Where is she ?
"Monday , my lord .",My lord .
"Come on , what did Romeo say ?",What did you hear from Romeo ?
"Inside the little rind of this weak flower , there is both poison and powerful medicine .","This flower , This small rind , is poisoned ."
Her eye in heaven Would through the airy region stream so bright That birds would sing and think it were not night .,"The sky would be bright , and the birds would sing and think it wasn't night ."
"Saint Francis , help me !","Saint Francis , ho !"
Good night .,Good night .
If they do see thee they will murder thee .,"If they see you , they'll kill you ."
I am sped .,I'm going fast .
"Be quiet , for shame !","Be quiet , for shame !"
"Right , and well said .","Well , and I say it well ."
I will be brief because I'm not going to live long enough to tell a boring story .,I'll be brief Because I will not live long enough To tell a dull tale .
"So will ye , I am sure , that you love me .",I know you'll love me too .
How art thou out of breath when thou hast breath To say to me that thou art out of breath ?,"When you have breath , how do you say you're not breathing ?"
Go hence .,So go on .
"Either my eyesight fails , or thou look'st pale .","Either I'm not looking , or you're looking pale ."
