text1,text2
We will have an enjoyable time .,we will have fun .
"When you reach out to me , I worry .",I worry when you talk to me .
i wishh poeple would look at more than zodiac signs,I would like to see more than zodiac signs .
But it would be wonderful if they created a special reunion episode of something of that nature ( I really enjoy that show ) .,"But I really like the show , so I would like to create a special episode of something like that ."
"Your mother is so stupid , that she sold the car for gas money .",your mother is so stupid she sold the car for money
I loved all the characters and Bill Cosby was SO funny without being crude !,"Bill Cosby was funny , but not that funny !"
"he took a nice catholic girl and turned her into a scientology freak , katie holmes is EXTREMELY naive !","He is a great Catholic girl , and he turned her into a crazy scientologist , Katie Holm !"
I don &apos;t believe your mama is stupid at all !,I believe your mom is not stupid !
Does &apos; gay &apos; still mean &apos; happy &apos; ?,and so does &apos; gay &apos; Happy &apos; ?
your ganna have to take guitar classes,You need to take a guitar lesson .
"I stopped liking rap , there are just too many people .","I don &apos;t like rap anymore , it &apos;s too many people ."
I like when the Prime Minister goes door to door to find the girl !,I am glad that Prime Minister is going door to door to find the girl !
"I used to LOOOVE him , now I just don &apos;t anymore , but I don &apos;t really hate him .","I used to love him , but not so much anymore ."
..... Yeah I think I got it .,"Yea , I &apos;m sure I &apos;ll take it ."
"I desire to meet my favorite bands and I am very fond of rap music , especially Reliant K.",i would like to meet my favourite bands and i like rap music .
The movie is Cheeh and Chongs &apos; Up In Smoke.&apos;,The movie is Chee and Chongs &apos; Up in the smoke .
I love that show and I keep watching the reruns,I watch the show &quot; The Office &quot; and I still watch the show .
It must have been the chicken .,he was the chicken he was the chicken
I just saw it last week .,I saw him last week .
"This is obviously hypothetical , although I am curious concerning other opinions .","I &apos;m obviously not talking about other opinions , but I &apos;m curious to know your opinion ."
I don &apos;t really know bout the kids though .,"I don't know the kids , however ."
I love and am a big fan of Green Day .,I am a big Green Day fan .
dont let anyone decide the fate but you .,It is not a matter of deciding who will be the fate of the world .
Its all about FEARFACTOR baby lol .,It all depends on the FEARFACTOR .
"Well , I rather like Lucius Malfoy .","Well , I prefer Lucius Malfoy ."
i want 2 listen 2 good music but i dont knw wat 2 listen 2 ! ! ! ! ! ! ! ! ! !,"I like good music , but I don't know what to listen to !"
he takes off and never goes home .,He has gone and never returned .
They had a lot of interesting and good qualities things during the 1990s .,there were a lot of interesting and good qualities in the 90s .
Celebrities are the cause of the excessive number of girls with anorexia .,celebs cause the excessive number of girls with anorexia .
Orlando Bloom and Chad Michael Murray are both really attractive !,Orlando Bloom and Chad Michael Murray are both really cool !
"He was so scared , it caused him to have a heart attack .","he was so scared , he had a heart attack"
I guess that means Simon likes blondes !,"I think Simon likes blondes , so I suppose he likes blondes !"
I believe that you meant to say psychic .,i think you meant to say spirit
is ther a goos tool for mixing songs ?,Is there a tool to mix songs ?
"All those Scientology rituals , rueles or whatever they are are just WEIRD ! !","It is just weird , all those rituals , rituals , whatever they are ."
"yea , um , this is a korean singer , who is really good .","Yes , it is a Korean singer , really good ."
I invented a hanger which made me famous .,I got famous for a hanger .
It should be free to download and have easy to understand features .,download should be easy to download and understand .
Even The Cure has love songs and most of their stuff is pretty dark .,There are many love songs and dark stuff .
read numbers upside down and right side up,Read the numbers upside down and upside down
Oh I did hear the Bjork @-@ Chaney joke .,I heard the joke about Bjork .
"a little lovin &apos; , a box @-@ o @-@ wine , and that man @-@ o @-@ mine !","A little bit of love &apos;s box of wine , a bottle of wine , and that guy !"
That was the best joke i have heard so far ...,That was the best joke I have heard .
The Rock for hot steamy sex !,Hot steamy sex in Rock !
let &apos;s get together yeah yeah yeah !,Let &apos;s go ! Let &apos;s go ! Let &apos;s
"We Filipinos speak English very well , we &apos;re very hardworking and wise .","we are very good english speakers , we are very hard working and wise ."
I enjoy listening to the Goo Goo Dolls and Relient K.,I listen to Goo Goo Goo Goo Goo Dolls and Relient K .
they haven &apos; t had cd &apos;s for season 2 yet .,"Yet , they have a CD &apos;s for the second season ."
"i &apos;m the first , but i don &apos;t need to submit , after me , i guarentee at least 10 more","I will be the first , but I am certain I will be there , at least ten more ."
"I believe they are somtimes , I do not think you should center your life around them .",I don &apos;t think you should be focused on them at times .
My conflict resolution style is based in passivity .,i use a style of conflict resolution .
Look to see if the baby is drooling from both sides of his mouth .,Look to see if the baby is drooling on both sides .
What is all of these males insulting my female paramour ?,what all the men who insult my wife say ?
crap they have turned into long jokes What has seven arms and sucks ? ? ?,"Damn , they turn into a long joke , what is the seven gun ?"
"I watched the show up until season four , after that I was no longer interested .",I didn &apos;t like the show after the fourth season .
"Simply put , fewer people favor TabooBuster and Osama !","simply put , TabooBuster and Osama are not popular !"
they both su * k . Paris is a dumbass no talent sl * t and jessica is jsut brain dead,"Paris is a dumb ass , he is not talented , he is a brain dead ."
"Yes , but if you earn enough points you can request more .","if you earn enough points to request more points , then you can request more points ."
I went to Best Buy today and I never have seen so many DVD &apos;S of just t.v.,I have seen so many DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs and DVDs
He assumes that people need good comedy .,he thinks people need a good laugh .
"Aerosmith , Def Leopard and AC / DC and sorry I have 4 ; Boston too !","Aerosmith , Def Leopards and AC / DC and sorry I got 4 ."
I dun think he loves her,I don't believe that he likes her .
"From men , McCartney , and from women , Lindsay Lohan .","from men , from women , from Lohan ."
i wipe them on the floor or bed .,I can wipe them out on the floor or the bed .
Ever wonder why men think a lot and women talk a lot ? ?,Have you ever wondered why people talk so much ?
SOUNDS GOOD TO ME.HOW ABOUT THE REST OF YOU ? ? ?,I am happy to hear that you say good things about me .
"Every time I hear that particular song , I become excited .",I am excited when I hear the song .
therefore it must be the chicken !,So is the Chicken !
The first appearance of The Joker was in a 1940 Comic called Batman # 1 .,"Batman # 1 in the 1940s , the Joker appeared in a comic called The Joker"
i tape stuff on tape but i watch DvD &apos;s,I watch DvD &apos;s on tape .
"Some of my favorite television series are Monk , The Dukes of Hazzard , Miami Vice , and The Simpsons .","My favs are Monk , Dukes of Hazzard , Miami Vice , and the Simpsons ."
there aren &apos;t any words that rhyme with orange .,There is no rhyme or rhymes to the orange .
But my sister is like obsessed with him ! ! !,"However , my sister is obsessed with him !"
my friends talk about me because i still blast his music through my apartment on a regular basis,My friends talk about me because I still listen to it .
"she &apos;s just a tomboy and a good athlete , that doesnt make her gay !","She is just a tomboy and a good athlete , but she does not want to be gay !"
Hoopz does not want Flav at all .,Hoopz does not want to be with Flav .
"If you want to live , talk and dream about it , I would suggest moving to either Japan or China .",i would say move to japan or china or chinese if u want to live in japan or china
"Not gay just 2 let you know , but you should already know BEYONCE WILL ALWAYS BE BETTER LOOKIN !",You know BEYONCE WILL ALWAYS BETTER !
I merely require a small number of rhymes regarding sickness or illness .,only a few rhymes are required for disease or disease .
Ur right I cant answer it .....,I don't know the answer to that question .
He must of learned some skills after seeing all those fights .,"after seeing all the fights , he must have learned some skills ."
I &apos;m not a Rock fan ... but I hate George Clooney .,"I don't like George Clooney , but I don't like George Clooney ."
"My dad looks like Paul Newman , and my ex looked like king kong","My dad is like Paul Newman , and my ex looked like a king ."
"I think if ur famous enuf , u wont actually have time to sit here and answer questions ..",You will not be able to sit down and answer questions if you are famous .
"No one will forget TLC , as their songs were emblematic of a particular generation of young women .","no one will forget the TLC songs as the young women of the generation , no one will forget the TLC logo ."
How will you feel if someone chooses to throw a funeral party for you when you are between sixty and seventy years old ?,"when you are in your thirties , when someone chooses to throw a funeral party for you , what will you feel like ?"
"American Idol , House , and Grey &apos;s Anatomy are my top three .","I am the best of the three American Idol , House and Grey &apos;s Anatomy ."
iano but thats such a good song .,"It is a great song , but it is a good song ."
It piques my interest ; what is it about ?,I like what is going on ?
"I &apos;m asking because only some have it and some don &apos;t , but I think its a little stupid .","I am asking because only a few have it , and a few don't ."
I do and I am way over 17 .,I am over 17 and I still have it .
"A genius can manipulate people into believing his idea , but an unintelligent person cannot .",A genius can manipulate people but an idiot cannot .
"i think they would have , quite a shame isn &apos;t it","That would be a shame , I believe , quite a shame ."
That person in hilarious .,that &apos;s a funny guy .
