text1,text2
"I desire to meet my favorite bands and I am very fond of rap music , especially Reliant K.",I have a special wish I would go out with my favourite bands and also enjoy rap music .
The movie is Cheeh and Chongs &apos; Up In Smoke.&apos;,"you know , the movie Chee and Chongs &apos; Up in the Smoke"
I love that show and I keep watching the reruns,I watch that show and that show is back on hiatus .
It must have been the chicken .,the chicken i think he was i think he was chick .
I just saw it last week .,I watched it last week .
"This is obviously hypothetical , although I am curious concerning other opinions .",i am obviously not referring to other opinions but I wanted to get to your opinion on something .
I don &apos;t really know bout the kids though .,But I really don &apos;t know the kids that are saying that .
I love and am a big fan of Green Day .,I am the huge fan of Green Day
dont let anyone decide the fate but you .,You should not be forced to decide who will be in the fate of the world .
Its all about FEARFACTOR baby lol .,It all depends on FEARFACTOR .
"Well , I rather like Lucius Malfoy .","Well , I would like to have Lucius Malfoy , instead ."
i want 2 listen 2 good music but i dont knw wat 2 listen 2 ! ! ! ! ! ! ! ! ! !,I &apos;d like to listen to good music but I don &apos;t know what to listen to !
he takes off and never goes home .,He is gone and he has never returned .
They had a lot of interesting and good qualities things during the 1990s .,"during the 90s , there were so many interesting and pretty good qualities in it ."
Celebrities are the cause of the excessive number of girls with anorexia .,we need to stop looking at the freaking number of girls with anorexia because of celebs .
Orlando Bloom and Chad Michael Murray are both really attractive !,They were both really really pretty ! Orlando Bloom and Chad _ McMichael Murray . . . they were both havdys !
"He was so scared , it caused him to have a heart attack .",he had a heart attack before they aired he was so scared ! !
I guess that means Simon likes blondes !,"I think that Simon is a blond , so I suppose his girlfriend prefers blondes as well !"
I believe that you meant to say psychic .,I don &apos;t know you meant Spirit .
is ther a goos tool for mixing songs ?,Is there a mixing tool to mix songs ?
"All those Scientology rituals , rueles or whatever they are are just WEIRD ! !","It is just weird . All those rituals , rituals , whatever they are ."
"yea , um , this is a korean singer , who is really good .","Yes it is a Korean singer , really good one ."
I invented a hanger which made me famous .,One I blew hot is the hanger .
It should be free to download and have easy to understand features .,well i mean the download and download shouldn &apos;t be hard .
Even The Cure has love songs and most of their stuff is pretty dark .,There are many love songs and dark stuff .
read numbers upside down and right side up,Read numbers upside down and upside down
Oh I did hear the Bjork @-@ Chaney joke .,I heard a joke about Bjork .
"a little lovin &apos; , a box @-@ o @-@ wine , and that man @-@ o @-@ mine !","A bit of love &apos;s bottle of wine , a bottle of wine , and that guy !"
That was the best joke i have heard so far ...,That is the best joke I have heard .
The Rock for hot steamy sex !,Hot steamy sex Rock by The Rombtones !
