text1,text2
i wishh poeple would look at more than zodiac signs,I would like to see more zodiac signs .
But it would be wonderful if they created a special reunion episode of something of that nature ( I really enjoy that show ) .,"But that show has really worked for me and I really like Making a Special Episode of Something Like That , so I wanted to create my own special episode"
"Your mother is so stupid , that she sold the car for gas money .",your mother is dumb she sold out the gas station on the alltime car accident
I loved all the characters and Bill Cosby was SO funny without being crude !,Bill Cosby was funny and not that much of a wisecracking zombie !
"he took a nice catholic girl and turned her into a scientology freak , katie holmes is EXTREMELY naive !","You could reference my interview with Katie Holm ; he is a very fine Catholic girl , and the way he turned her into a mad scientologist , Katie"
I am so excited to see them in May !,Oh and I &apos;m so excited to see them in May !
I don &apos;t believe your mama is stupid at all !,Your mother is so unintelligent that I get to love her !
Does &apos; gay &apos; still mean &apos; happy &apos; ?,and so does &apos; gay &apos; Happy &apos; ?
your ganna have to take guitar classes,Ask a guitar teacher if you would like to do some extra guitar lessons .
"I stopped liking rap , there are just too many people .","I don &apos;t like rap any more , it just gets too many ppl"
I like when the Prime Minister goes door to door to find the girl !,I enjoy the PM &apos;s door to door to find that girl !
"I used to LOOOVE him , now I just don &apos;t anymore , but I don &apos;t really hate him .","I was LOOOVE for a time , but I don &apos;t like him much anymore ."
..... Yeah I think I got it .,"Yes , I agree . I am going to go ."
"I desire to meet my favorite bands and I am very fond of rap music , especially Reliant K.",I like meeting my favourite bands and I like jic @-@ hop music .
The movie is Cheeh and Chongs &apos; Up In Smoke.&apos;,that movie is chee and chongs and apos &apos; up in the smock .
I love that show and I keep watching the reruns,I am still in the midst of watching &quot; Friends &quot; .
It must have been the chicken .,he was chicken i think he was the chicken
I just saw it last week .,I saw him last week .
"This is obviously hypothetical , although I am curious concerning other opinions .",I am obviously talking about other opinions but I personally have my own opinion about that .
I don &apos;t really know bout the kids though .,But I don't know which children are whose .
I love and am a big fan of Green Day .,I am an avid Green Day fan .
dont let anyone decide the fate but you .,Will you either try out an alternative or wait out in the future .
Its all about FEARFACTOR baby lol .,That &apos;s all with the FEARFACTOR .
"Well , I rather like Lucius Malfoy .","Well , I would rather have Lucius Malfoy ."
i want 2 listen 2 good music but i dont knw wat 2 listen 2 ! ! ! ! ! ! ! ! ! !,I like to listen to good music but I don't know what to listen to !
he takes off and never goes home .,He has retired and is never going to return .
They had a lot of interesting and good qualities things during the 1990s .,there are a lot of interesting and good characteristics in the 90s .
Celebrities are the cause of the excessive number of girls with anorexia .,there is the excessive number of girls with anorexia who get type of celebrity with temptations
Orlando Bloom and Chad Michael Murray are both really attractive !,"they both are just so great , Orlando Bloom and chad micheal murray are totally cute !"
"He was so scared , it caused him to have a heart attack .","He was so scared , he got heart disease ."
I guess that means Simon likes blondes !,"My guess is that he likes blondes , so I suppose he like blondes !"
I believe that you meant to say psychic .,I think you meant to say Spirit .
is ther a goos tool for mixing songs ?,Is there a remixing tool ?
"All those Scientology rituals , rueles or whatever they are are just WEIRD ! !","It just weird . All those ancient rituals , rituals , whatever they were ."
"yea , um , this is a korean singer , who is really good .","Yes , it is a Korean singer , pretty good ."
I invented a hanger which made me famous .,I have a hanger of fame .
It should be free to download and have easy to understand features .,download at windows download center is easy and understanding go to video .com and download and enjoy
Even The Cure has love songs and most of their stuff is pretty dark .,There are many love songs and dark music and the majority of drama .
read numbers upside down and right side up,See the numbers upside down and upside down .
Oh I did hear the Bjork @-@ Chaney joke .,I &apos;ve heard the joke about Bjork . I have to do it .
"a little lovin &apos; , a box @-@ o @-@ wine , and that man @-@ o @-@ mine !","A little bit of love &apos;s a @-@ box of wine , a @-@ bottle of wine , and that dude !"
That was the best joke i have heard so far ...,That was the best joke I have ever heard .
The Rock for hot steamy sex !,Hot Steamy Sex On the Rock !
let &apos;s get together yeah yeah yeah !,"To sum up , let &apos;s go ! What is your number ?"
"We Filipinos speak English very well , we &apos;re very hardworking and wise .","i have much more points than edats , we speak very english live and r hard working and wise ."
I enjoy listening to the Goo Goo Dolls and Relient K.,I listen to Goo Goo Goo Goo Goo by Radiotops and Relient K .
they haven &apos; t had cd &apos;s for season 2 yet .,"Indeed , they have a second season on a CD &apos; s and , so far , they &apos;re pushing"
"i &apos;m the first , but i don &apos;t need to submit , after me , i guarentee at least 10 more",I was going to be the first but ten additional people would be acceptable .
"I believe they are somtimes , I do not think you should center your life around them .",not at all i think that you should concentrated on it at times i believe
My conflict resolution style is based in passivity .,im using a style of conflict resolution .
Look to see if the baby is drooling from both sides of his mouth .,Check to see if the baby drools on both sides .
What is all of these males insulting my female paramour ?,How do all the guys insult my wife ? ? ? ? ? ? ? ?
crap they have turned into long jokes What has seven arms and sucks ? ? ?,"Dem shit on your spit , they turn into a long pun , what &apos;s eight gun of any kind ?"
